Neighbourhood,Building Class Category, Address ,Residential Units,Commercial Units,Total Units,Land Sq Feet,Gross Sq Feet,Year Built,Sale Price,Sale Date
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 738 EAST 6TH STREET ,11,0,11,1750,6500,1900,3750000,4/3/2017
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 27 AVENUE C ,24,1,25,2650,9960,1910,5235000,7/11/2017
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 151 AVENUE B ,5,0,5,2139,4416,1900,0,6/16/2017
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 153 AVENUE B ,5,0,5,1633,6440,1900,6625000,7/19/2017
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 30 AVENUE B ,16,2,18,1934,8700,1900,0,3/5/2018
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 30 AVENUE B ,16,2,18,1934,8700,1900,0,3/5/2018
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 28 AVENUE B ,16,1,17,1933,8699,1900,0,3/5/2018
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 28 AVENUE B ,16,1,17,1933,8699,1900,5000000,3/5/2018
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 234 EAST 4TH   STREET ,28,3,31,4616,18690,1900,0,3/5/2018
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 234 EAST 4TH   STREET ,28,3,31,4616,18690,1900,7906412,3/5/2018
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 193 EAST 4TH   STREET ,11,1,12,2388,8045,1900,7675000,11/13/2017
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 317 EAST 10TH   STREET ,4,0,4,2369,4100,1900,5850000,3/29/2018
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 516 EAST 12TH   STREET ,20,0,20,2581,9730,1900,0,7/20/2017
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             , 520 EAST 14TH   STREET ,44,2,46,5163,21007,1900,0,7/20/2017
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           , 141 AVENUE D ,15,0,15,5626,21957,1920,0,6/20/2017
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           , 181 AVENUE C ,30,4,34,4295,21328,1910,0,7/20/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 327 EAST 3 STREET, 3A ",0,0,0,0,0,1920,10,4/28/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 327 EAST 3RD STREET, 5A ",0,0,0,0,0,1920,529500,6/9/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 327 EAST 3 STREET, 2E ",0,0,0,0,0,1920,423000,7/14/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 327 EAST 3 STREET, 1B ",0,0,0,0,0,1920,400,12/15/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 317 EAST 3RD STREET, 11 ",0,0,0,0,0,1925,445000,1/3/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 317 EAST THIRD STREET, A ",0,0,0,0,0,1925,590000,2/28/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 311 EAST 3RD, 22 ",0,0,0,0,0,1920,510000,8/17/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 311 EAST 3RD STREET, 12 ",0,0,0,0,0,1920,449000,11/6/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 742 EAST 6TH STREET, 1 ",0,0,0,0,0,1902,350000,8/30/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 742 EAST 6TH STREET, 3 ",0,0,0,0,0,1902,240000,7/28/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 98 AVENUE C, 5D ",0,0,0,0,0,1900,379000,11/2/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               , 244 EAST 7TH STREET ,24,0,24,4131,16776,1928,11900000,6/21/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               , 244 EAST 7TH STREET ,0,0,0,0,0,1928,11900000,6/21/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 248 EAST 7TH STREET, 2 ",0,0,0,0,0,1928,404000,7/7/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 252 EAST 7TH STREET, 23 ",0,0,0,0,0,1928,350000,2/27/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 254 EAST  7TH STREET, 4 ",0,0,0,0,0,1910,535000,6/21/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 267 EAST 7 ST, 4 ",0,0,0,0,0,1920,1400000,8/4/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 414 EAST 10TH   STREET, 4E ",0,0,0,0,0,1930,355000,4/18/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 414 EAST 10TH STREET, 1C ",0,0,0,0,0,1930,0,6/19/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 414 EAST 10TH STREET, 1D ",0,0,0,0,0,1930,455000,1/18/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 184 EAST 7TH ST, 6 ",0,0,0,0,0,1900,690000,1/11/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 204 EAST 7TH STREET, 10 ",0,0,0,0,0,1900,360000,11/22/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 204 EAST 7TH STREET, 6 ",0,0,0,0,0,1900,505000,2/8/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 206 EAST 7TH STREET, 17,18 ",0,0,0,0,0,1900,805000,8/28/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 623 EAST 6TH STREET, 8 ",0,0,0,0,0,1910,475000,5/10/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 623 EAST 6TH STREET, 3 ",0,0,0,0,0,1910,465000,11/21/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 613 EAST 6TH STREET, 4A ",0,0,0,0,0,1920,1025250,12/5/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 219 EAST 7TH STREET, 19 ",0,0,0,0,0,1910,540000,9/6/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 219 EAST 7 STREET, 5 ",0,0,0,0,0,1910,0,11/21/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 199 EAST 7TH   STREET, 2C ",0,0,0,0,0,1935,810000,6/28/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 618 EAST 9TH STREET, 2 E ",0,0,0,0,0,1910,300000,8/24/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 620 EAST 9TH STREET, 3E ",0,0,0,0,0,1910,300000,8/30/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 323 EAST 8TH STREET, 2A ",0,0,0,0,0,1910,579000,6/27/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 323 EAST 8TH STREET, 2B ",0,0,0,0,0,1910,525000,9/1/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 303 EAST 8TH STREET, 5F ",0,0,0,0,0,1900,1450000,10/6/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 149 AVENUE C, 5/6R ",0,0,0,0,0,1900,1265000,12/19/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 163 AVENUE C, 2 ",0,0,0,0,0,1900,25000,6/14/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 393 EAST 10TH STREET, 4 ",0,0,0,0,0,1900,0,9/5/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 633 EAST 11TH STREET, 19 ",0,0,0,0,0,1937,500000,4/21/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 633 E 11TH ST, 17 ",0,0,0,0,0,1937,510000,6/29/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 632 EAST 14TH STREET, 3 ",0,0,0,0,0,1920,425000,4/13/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 626 EAST 14TH STREET, 9 ",0,0,0,0,0,1920,490000,6/29/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 630 EAST 14TH STREET, 2 ",0,0,0,0,0,1920,405600,2/21/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 185 EAST 2ND STREET, C ",0,0,0,0,0,1915,409000,6/6/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 185 EAST 2ND STREET, 2B ",0,0,0,0,0,1915,415000,7/17/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 185 EAST 2 STREET, 4B ",0,0,0,0,0,1915,450000,3/6/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 162 EAST 2ND STREET, 1C ",0,0,0,0,0,1950,435000,7/13/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 162 EAST 2ND STREET, 3D ",0,0,0,0,0,1950,410000,11/29/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 225 EAST 4TH STREET, 1 ",0,0,0,0,0,1937,575000,5/17/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 225 EAST 4TH STREET, 20 ",0,0,0,0,0,1937,605000,8/28/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 504 EAST 6TH STREET, 1 ",0,0,0,0,0,1900,799000,5/31/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 504 EAST 6TH STREET, 5 ",0,0,0,0,0,1900,800000,7/12/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 537 EAST 6TH STREET, 5 ",0,0,0,0,0,1900,1475000,5/3/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 512 EAST 11TH STREET, 3C ",0,0,0,0,0,1929,345000,11/21/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 518 EAST 11TH STREET, 2B ",0,0,0,0,0,1900,790000,9/8/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 534 EAST 11TH STREET, 21 ",0,0,0,0,0,1920,490000,8/7/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 519 EAST 11TH STREET, 4W ",0,0,0,0,0,1910,380000,8/9/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 549 EAST 12 STREET, 3B ",0,0,0,0,0,1900,10,2/7/2018
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 527 EAST 12TH   STREET, E2 ",0,0,0,0,0,1901,430000,4/7/2017
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ," 529 EAST 12TH STREET, B1B3 ",0,0,0,0,0,1901,750000,1/10/2018
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ," 735 EAST 9 STREET, 3RW ",0,0,0,0,0,1920,499900,4/13/2017
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ," 226-8 EAST 2ND STREET, 4A ",0,0,0,0,0,1900,0,11/15/2017
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ," 226 EAST 2ND, 1B ",0,0,0,0,0,1900,1100000,1/5/2018
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ," 300 EAST 4TH STREET, 1D ",0,0,0,0,0,1940,1400000,5/11/2017
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ," 223 EAST 3RD STREET, 4B ",0,0,0,0,0,1900,790000,12/9/2017
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ," 223 E. 3RD ST, 1A ",0,0,0,0,0,1900,475000,3/27/2018
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ," 283 EAST 4TH STREET, 5A ",0,0,0,0,0,1920,435000,1/31/2018
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             , 620 EAST 13TH   STREET ,0,0,0,0,0,1973,5500000,2/27/2018
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ," 160 EAST 3RD   STREET, 6B ",0,0,0,0,0,1940,0,12/28/2017
ALPHABET CITY,11A CONDO-RENTALS                           , 79 AVENUE D ,0,0,0,0,0,0,0,3/12/2018
ALPHABET CITY,11A CONDO-RENTALS                           , 183-189 AVENUE B ,40,0,40,8467,35228,2013,8058923,8/9/2017
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              , 182 EAST 2ND   STREET ,1,0,1,0,0,0,820000,7/11/2017
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              , 511 EAST 11TH   STREET ,1,0,1,0,0,0,1865000,9/15/2017
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              , 511 EAST 11TH STREET ,1,0,1,0,0,0,0,7/20/2017
ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            , 399 EAST 8TH   STREET ,1,0,1,0,0,2014,0,5/25/2017
ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            , 399 EAST 8TH   STREET ,1,0,1,0,0,2014,0,5/25/2017
ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            , 399 EAST 8TH   STREET ,1,0,1,0,0,2014,0,7/14/2017
ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            , 399 EAST 8TH   STREET ,1,0,1,0,0,2014,0,7/14/2017
ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            , 399 EAST 8TH   STREET ,1,0,1,0,0,2014,0,5/25/2017
ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            , 399 EAST 8TH   STREET ,1,0,1,0,0,2014,0,5/25/2017
ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            , 399 EAST 8TH   STREET ,1,0,1,0,0,2014,0,5/25/2017
